titulo,data,resumo,link,operações,UF
 CONTRATO DE TERCEIRIZAÇÃO DE R$ 46 MILHÕES NA EDUCAÇÃO É JULGADO IRREGULAR ,25/09/2020,O contrato de gestão com OS InSaúde já foi alvo da 5ª fase da Operação Calvário para investigar a formação de uma organização criminosa que teria desviado da saúde e da educação,https://www.ataqueaoscofrespublicos.com/noticias/contrato-de-terceirizacao-de-r-46-milhoes-na-educacao-e-julgado-irregular/,Operação Calvário,PB
 OSS NA SAÚDE: NOVAS DENÚNCIAS DE DESVIOS PODEM TER DESFALCADO SUS EM R$ 2 MILHÕES ,24/09/2020,Notas fiscais forjados e contratos com empresas de fachada foram detectados pelos investigadores,https://www.ataqueaoscofrespublicos.com/noticias/oss-na-saude-novas-denuncias-de-desvios-podem-ter-desfalcado-sus-em-r-2-milhoes/,Operação Sem Misericórdia”,RS;ES
 REGIÃO SUL: “TERCEIRIZAÇÃO DA SAÚDE EXIBE UMA COLEÇÃO DE FRACASSOS” ,24/09/2020,Pelo menos 27 municípios gaúchos e catarinenses viveram péssimas experiências na entrega das gestões de unidades para as Organizações Sociais e demais entidades do chamado “Terceiro Setor”,https://www.ataqueaoscofrespublicos.com/noticias/regiao-sul-terceirizacao-da-saude-exibe-uma-colecao-de-fracassos/,,RS
 SÃO FRANCISCO SERVIÇOS MÉDICOS TEM CONTAS REPROVADAS EM BERTIOGA ,22/09/2020,Proprietário da empresa é foragido da Justiça e citado em investigação na Saúde de Mogi das Cruzes (SP),https://www.ataqueaoscofrespublicos.com/noticias/sao-francisco-servicos-medicos-tem-contas-reprovadas-em-bertioga/,,SP;MA
 CONSELHO DE MEDICINA VAI À JUSTIÇA CONTRA OS INSTITUTO GNOSIS ,22/09/2020,Medida visa cobrar da entidade privada que atua no Rio os salários atrasados dos profissionais,https://www.ataqueaoscofrespublicos.com/noticias/conselho-de-medicina-vai-a-justica-contra-os-instituto-gnosis/,,RJ;SE;ES
 OS PLURAL E PREFEITA DE PERUÍBE SÃO ALVOS DE AÇÃO POR IMPROBIDADE NA SAÚDE ,22/09/2020,"MP pede que a Justiça determine o pagamento de R$ 93 milhões, referentes a duas vezes o dano causado aos cofres municipais",https://www.ataqueaoscofrespublicos.com/noticias/os-plural-e-prefeita-de-peruibe-sao-alvos-de-acao-por-improbidade-na-saude/,,SP
 OSs NO RIO: IMPEACHMENT DE WITZEL AVANÇA E PARECER DEVE SER VOTADO NESTA QUARTA ,21/09/2020,"Serão analisadas denúncias de desvios financeiros cometidos por Witzel, especialmente, em organizações sociais (OSs) e na construção de hospitais de campanha para combate à covid-19 no estado",https://www.ataqueaoscofrespublicos.com/noticias/oss-no-rio-impeachment-de-witzel-avanca-e-parecer-deve-ser-votado-nesta-quarta/,,RJ
 NOVO PEDIDO DE CASSAÇÃO CONTRA ADEMÁRIO É PROTOCOLADO NA CÂMARA DE CUBATÃO ,17/09/2020,Advogado alega que prefeito contratou de forma emergencial e irregular a organização social IMSV,https://www.ataqueaoscofrespublicos.com/noticias/novo-pedido-de-cassacao-contra-ademario-e-protocolado-na-camara-de-cubatao/,,
" IMPEACHMENT DE WITZEL: OSs PAGAVAM DE 3% A 6% DE “CAIXINHA”, DIZ DELATOR ",17/09/2020,"Mais de R$ 50 milhões teriam sido desviados da saúde de forma criminosa, entre janeiro de 2019 a junho de 2020",https://www.ataqueaoscofrespublicos.com/noticias/impeachment-de-witzel-oss-pagavam-de-3-a-6-de-caixinha-diz-delator/,Operação Tris In Idem;Operação Lava Jato,RJ
 GRUPO QUE GANHOU CONTRATOS NA SAÚDE DO RIO DEU DINHEIRO PARA CAMPANHA DE WITZEL ,16/09/2020,Médicos e empresários que fizeram doações de campanha têm ligações com OSs e empresas investigadas e cujos sócios foram presos,https://www.ataqueaoscofrespublicos.com/noticias/grupo-que-ganhou-contratos-na-saude-do-rio-deu-dinheiro-para-campanha-de-witzel/,,SC;PA;ES
 EMPRESÁRIO LIGADO A OS DE FACHADA É PRESO EM OPERAÇÃO CONTRA FRAUDE NA SAÚDE ,16/09/2020,Presidente de organização social contratada de forma suspeita para gerir Hospital de Campanha em Recife (PE) seria laranja recrutado pelo empresário,https://www.ataqueaoscofrespublicos.com/noticias/empresario-ligado-a-os-de-fachada-e-preso-em-operacao-contra-fraude-na-saude/,Operação Desumano;Operação Assepsia,PE
 UPAs DE SANTOS CONTRATAM MÉDICOS POR WHATSAPP DE EMPRESA PERTENCENTE A FORAGIDO DA JUSTIÇA ,15/09/2020,"Fundação do ABC, que é citada em operação como sendo beneficiária por um esquema de contratação de cartas marcadas, quarteiriza a contratação para a São Francisco Serviços Médicos, cujo dono é foragido da Justiça e filho de vereador preso em Mogi",https://www.ataqueaoscofrespublicos.com/noticias/upas-de-santos-contratam-medicos-por-whatsapp-de-empresa-pertencente-a-foragido-da-justica/,Operação “Legis Easy”,
 DEPOIS DE 8 ANOS ORGANIZAÇÃO SOCIAL DE PERUÍBE É CONDENADA A DEVOLVER DINHEIRO ,14/09/2020,"A OS terá de devolver R$ 346.017,10. O dinheiro não teve comprovação de destinação correta e há suspeita de ter sido utilizado em fins não ligados ao objetivo do contrato",https://www.ataqueaoscofrespublicos.com/noticias/depois-de-8-anos-organizacao-social-de-peruibe-e-condenada-a-devolver-dinheiro/,,SE;CE;AP;ES;PE
" FORAGIDO DA POLÍCIA EM MOGI É DONO DA EMPRESA QUE FORNECE MÉDICOS PARA UPA DE SANTOS, DIZ MP ",11/09/2020,"De acordo com denúncia do Ministério Público, Pablo Bezerra foi beneficiado com contrato com a FUABC em Santos como moeda de troca. O pai de Pablo, então secretário de Saúde de Mogi das Cruzes, teria contratado a OS para gerir o hospital municipal com essa condição.",https://www.ataqueaoscofrespublicos.com/noticias/foragido-da-policia-em-mogi-e-dono-da-empresa-que-fornece-medicos-para-upa-de-santos-diz-mp/,,PB;MA
 ENTREVISTA: ESPECIALISTAS EXPLICAM COMO AS OSs ENGANAM A POPULAÇÃO E ROUBAM O DINHEIRO DA SAÚDE ,11/09/2020,"Programa foi ao ar nesta sexta (11), pelo canal do Jornal Diário do Litoral no YouTube ",https://www.ataqueaoscofrespublicos.com/noticias/entrevista-especialistas-explicam-como-as-oss-enganam-populacao-e-roubam-o-dinheiro-da-saude/,,SC
 FALHA EM ULTRASSOM MORFOLÓGICO EM SANTOS GERA RISCO DE MORTE A BEBÊ ,11/09/2020,"Mãe fez o pré-natal e o exame no Hospital dos Estivadores, mas o resultado acusou que estava tudo normal, sendo que a criança já estava com cardiopatia congênita ",https://www.ataqueaoscofrespublicos.com/noticias/falha-em-ultrassom-morfologico-em-santos-gera-risco-de-morte-bebe/,,SC
 JUSTIÇA DO MARANHÃO ACEITA DENÚNCIA DE 23 PESSOAS ACUSADAS DE DESVIOS QUE SOMAM R$ 18 MILHÕES ,10/09/2020,As suspeitas em análise envolvem fraudes as folhas de pagamento de pessoal e contratações direcionadas de organizações sociais para terceirizar a Saúde do Estado,https://www.ataqueaoscofrespublicos.com/noticias/justica-do-maranhao-aceita-denuncia-de-23-pessoas-acusadas-de-desvios-que-somam-r-18-milhoes/,Operação Pegadores,MA
" CORRUPÇÃO NA SAÚDE: RELATÓRIO DETECTA QUE OSs CITADAS EM INVESTIGAÇÕES DO MPF RECEBERAM R$ 1,8 BI NO RIO ",09/09/2020,Uma estrutura multimilionária foi formada por meio do direcionamento de OSs nos contratos com o Estado,https://www.ataqueaoscofrespublicos.com/noticias/corrupcao-na-saude-relatorio-detecta-que-oss-citadas-em-investigacoes-do-mpf-receberam-r-18-bi-no-rio/,Operação Favorito’,RJ
 INVESTIGAÇÃO CITA FUABC E UPA TERCEIRIZADA EM SANTOS EM ESQUEMA QUE GEROU PRISÕES DE VEREADORES EM MOGI ,09/09/2020,Funcionário da UPA Central de Santos é considerado foragido pela polícia,https://www.ataqueaoscofrespublicos.com/noticias/investigacao-cita-fuabc-e-upa-terceirizada-em-santos-em-esquema-que-gerou-prisoes-de-vereadores-em-mogi/,,SP
 MULHER DENUNCIA MORTE POR FALTA DE HEMODIÁLISE EM UNIDADE GERIDA PELA SPDM ,04/09/2020,Famílias dos pacientes do Nefro PG denunciaram à imprensa a faltam insumos e estrutura para evitar interrupção nos tratamentos,https://www.ataqueaoscofrespublicos.com/noticias/mulher-denuncia-morte-por-falta-de-hemodialise-em-unidade-gerida-pela-spdm/,,SP;AC;AM;CE;ES;MA;PA;PR;SE;PI;SC
 COMO OCORREM OS DIRECIONAMENTOS NA ESCOLHA DE ORGANIZAÇÕES SOCIAIS NO RIO ,01/09/2020,"Segundo investigadores, esquema favorece as OSs antes que elas sejam oficialmente selecionadas nos chamamentos públicos; Uma das beneficiadas teria sido a empresa que administra o Hospital Getúlio Vargas.",https://www.ataqueaoscofrespublicos.com/noticias/como-ocorrem-os-direcionamentos-na-escolha-de-organizacoes-sociais-no-rio/,,RJ
" CONTRATO DA CARRETA DO COVID-19 EM CUBATÃO TEVE FALHAS, DIZ TCE ",01/09/2020,"Segundo fiscais do órgão de contas, contrato feito sem licitação poderia ter custado menos da metade do que o valor pago pelo Município",https://www.ataqueaoscofrespublicos.com/noticias/contrato-da-carreta-do-covid-19-em-cubatao-teve-falhas-diz-tce/,,SP
 POPULAÇÃO AGONIZAVA EM CASA COM COVID-19 ENQUANTO GESTORA DE HOSPITAL DE MANAUS  ‘ESCONDIA’ LEITOS OCIOSOS ,01/09/2020,"A situação consta de relatório da CPI da Saúde no Amazonas; Instituto de Desenvolvimento Social e Humano (INDSH) recebeu integralmente, como se tivesse atendido em 100% da capacidade ",https://www.ataqueaoscofrespublicos.com/noticias/populacao-agonizava-em-casa-com-covid-19-enquanto-gestora-de-hospital-de-manaus-escondia-leitos-ociosos/,,AM
 OSs NO RIO: DEPUTADOS INDICAVAM FUNCIONÁRIOS PARA CONTRATAÇÃO EM UNIDADES TERCEIRIZADAS EM TROCA DE CAMPANHA ,29/08/2020,"Depoimento de ex-secretário de Saúde aponta que foram mapeados 10% dos cargos de UPAS e hospitais, chegando a um total de 1.800 vagas loteadas",https://www.ataqueaoscofrespublicos.com/noticias/oss-no-rio-deputados-indicavam-funcionarios-para-contratacao-em-unidades-terceirizadas-em-troca-de-campanha/,Operação Placebo,RJ
 SPDM EM PRAIA GRANDE: PACIENTES FICAM UMA SEMANA SEM ACESSO À HEMODIÁLISE ,28/08/2020,"Segundo imprensa local, pessoas com problemas renais estão sem sem hemodiálise desde  o dia 22/8, por problemas estruturais na unidade gerenciada pela mesma OS que atua no Irmã Dulce",https://www.ataqueaoscofrespublicos.com/noticias/spdm-em-praia-grande-pacientes-ficam-uma-semana-sem-acesso-hemodialise/,,SP;PA;CE;SC
" ACUSADOS DE CORRUPÇÃO VIA OSs, WITZEL É AFASTADO E PASTOR EVERALDO É PRESO ",28/08/2020,"Operação tem mais 16 mandados de prisão de envolvidos no que o Ministério Público Federal chamou de uma “sofisticada organização criminosa, composta por pelo menos três grupos de poder, encabeçada pelo governador Wilson Witzel”",https://www.ataqueaoscofrespublicos.com/noticias/acusados-de-corrupcao-via-oss-witzel-e-afastado-e-pastor-everaldo-e-preso/,Operação Placebo,RJ
 OSs CONTRATADAS PELA PREFEITURA DE SANTOS FECHAM 2020 COM R$ 183 MILHÕES EM REPASSES ,27/08/2020,"No Governo de Paulo Alexandre Barbosa (PSDB), as OSs repletas de denúncias ganharam mais espaço, mais contratos e mais dinheiro nos últimos dois anos",https://www.ataqueaoscofrespublicos.com/noticias/oss-contratadas-pela-prefeitura-de-santos-fecham-2020-com-r-183-milhoes-em-repasses/,Operação Dardanários;Operação Prato Feito,GO;SP
 FUNDAÇÃO SÃO FRANCISCO XAVIER (A OS DA USIMINAS) PROTAGONIZA ESCÂNDALO ENVOLVENDO LAVAGEM DE DINHEIRO ,26/08/2020,"Segundo Grupo de Atuação Especial de Combate ao Crime Organizado de Ipatinga (MG), em conjunto com o Ministério Público do Trabalho, foram desviados mais de R$ 2,3 milhões com auxílio de contratos firmados com a OS.",https://www.ataqueaoscofrespublicos.com/noticias/fundacao-sao-francisco-xavier-a-os-da-usiminas-protagoniza-escandalo-envolvendo-lavagem-de-dinheiro/,,MG
 MEDICAMENTOS DE HOSPITAL CONTROLADO POR OS LIGADA AO CRIME FORAM DESVIADOS PARA PRODUÇÃO DE COCAÍNA ,25/08/2020,"Segundo investigação da Polícia de Aurjá (SP), controlador de OS que atua na rede municipal é ligado ao tráfico de drogas e está foragido",https://www.ataqueaoscofrespublicos.com/noticias/medicamentos-de-hospital-controlado-por-os-ligada-ao-crime-foram-desviados-para-producao-de-cocaina/,Operação “Soldi Sporchi” (Dinheiro Sujo),SP
 PORQUE A TERCEIRIZAÇÃO DO HOSPITAL DE CAMPO LIMPO POR BRUNO COVAS ESTÁ SENDO INVESTIGADA ,25/08/2020,"Gestão do equipamento está sendo entregue para a OS do Einstein, por R$ 114 milhões, mas irregularidades geraram a suspensão do processo pelo TCM e investigação pelo MP",https://www.ataqueaoscofrespublicos.com/noticias/porque-a-terceirizacao-do-hospital-de-campo-limpo-por-bruno-covas-esta-sendo-investigada/,,SP
" JORNAL DENUNCIA: GOVERNO BRUNO COVAS PAGA R$ 3,3 MILHÕES PARA UPA FECHADA ",24/08/2020,Organização social SPDM responsável pela Unidade de Pronto Atendimento do Tatuapé já está recebendo recursos mesmo não havendo sequer uma previsão de data de início do serviço. Foram embolsados quase R$ 7 milhões entre repasses mensais de custeio e recursos para “investimento”. ,https://www.ataqueaoscofrespublicos.com/noticias/jornal-denuncia-governo-bruno-covas-paga-r-33-milhoes-para-upa-fechada/,,SP
 COM UM ESCÂNDALO ATRÁS DO OUTRO SECRETÁRIO ANUNCIA O FIM DA OSs NO RIO ,24/08/2020,"Alex Bousquet, secretário de Saúde, disse que o encerramento dos contratos com OSs subordinará as gestões à Fundação Estadual de Saúde. Enquanto isso, Witzel pode sofrer impeachment por irregularidades em contratos emergenciais firmados com OSs durante a pandemia",https://www.ataqueaoscofrespublicos.com/noticias/com-um-escandalo-atras-do-outro-secretario-anuncia-o-fim-da-oss-no-rio/,,RJ
 PREFEITO DE REGISTRO É CONDENADO PAGAR R$ 4 MILHÕES POR TERCEIRIZAÇÃO NA SAÚDE ,21/08/2020,Multa aplicada a Gilson Fantin (PSDB) decorre de ação civil pública do Ministério Público do Trabalho,https://www.ataqueaoscofrespublicos.com/noticias/prefeito-de-registro-e-condenado-pagar-r-4-milhoes-por-terceirizacao-na-saude/,,SP
 FAMÍLIA DENUNCIA NEGLIGÊNCIA NO ATENDIMENTO DE PACIENTE QUE FALECEU APÓS CONTRAIR COVID-19 EM GUARUJÁ ,21/08/2020,"Idosa tinha comorbidades e chegou a ser levada quatro vezes no antigo PAM Rodoviária; mesmo com exames que confirmavam a doença, era sempre liberada para casa",https://www.ataqueaoscofrespublicos.com/noticias/familia-denuncia-negligencia-no-atendimento-de-paciente-que-faleceu-apos-contrair-covid-19-em-guaruja/,,SP
 MAIS TERCEIRIZAÇÃO: GRUPO DENUNCIA DESFIGURAÇÃO DA CLÍNICA ESCOLA PARA AUTISTAS EM SANTOS ,20/08/2020,"Organização Social contratada para gerir o serviço é a USC Saúde, que apesar de ser inexperiente no segmento e de ter menos de um ano de existência, receberá da Prefeitura R$ 4,1 milhões por ano, em contrato que pode chegar a 60 meses",https://www.ataqueaoscofrespublicos.com/noticias/mais-terceirizacao-grupo-denuncia-desfiguracao-da-clinica-escola-para-autistas-em-santos/,,SP;RJ
 PRESTAÇÃO DE CONTAS DAS OSs EM SANTOS É CANCELADA POR FALTA DE DOCUMENTOS ,19/08/2020,Audiência pública foi iniciada e sete minutos depois foi suspensa porque não havia condições de fiscalizar nada,https://www.ataqueaoscofrespublicos.com/noticias/prestacao-de-contas-das-oss-em-santos-e-cancelada-por-falta-de-documentos/,,PA;SP;SC
" DE OLHO NO MERCADO LUCRATIVO DAS OSs, SANTA CASA DE SANTOS ANUNCIA INSTITUTO ",17/08/2020,O hospital privado acaba de criar um Instituto para disputar contratos de gestão de unidades e serviços de saúde públicos,https://www.ataqueaoscofrespublicos.com/noticias/de-olho-no-mercado-lucrativo-das-oss-santa-casa-de-santos-anuncia-instituto/,Operação Hygia,PB;SP
 HOSPITAL TERCEIRIZADO PRESTA 70% DOS SERVIÇOS E RECEBE POR 100% ,14/08/2020,"É o que aponta CPI sobre o assunto em Manaus (AM), ao analisar contratos de gestão com organização social",https://www.ataqueaoscofrespublicos.com/noticias/hospital-terceirizado-presta-70-dos-servicos-e-recebe-por-100/,,AM
 CPI DAS QUARTEIRIZAÇÕES VAI CONVOCAR FALSO MÉDICO PRESO EM PRAIA GRANDE ,13/08/2020,"O falsário foi contratado de forma quarteirizada, por empresa que presta serviço para a organização social SPDM, terceirizada responsável pela gestão do Hospital Irmã Dulce ",https://www.ataqueaoscofrespublicos.com/noticias/cpi-das-quarteirizacoes-vai-convocar-falso-medico-preso-em-praia-grande/,,PI;SP;AP;AM;PA
 TRIBUNAL MULTA PREFEITO DE CUBATÃO POR TERCEIRIZAÇÃO DE UPA ,12/08/2020,"Punição decorre de várias irregularidades, dentre elas a dispensa de licitação para gestão da UPA do Parque São Luiz, pela OS ISMV ",https://www.ataqueaoscofrespublicos.com/noticias/tribunal-multa-prefeito-de-cubatao-por-terceirizacao-de-upa/,,PA;CE;ES;SP;MS;TO
 OS IABAS USOU DINHEIRO DA SAÚDE DE SP PARA CUSTEAR ADVOGADOS EM PROCESSOS CRIMINAIS NO RIO ,11/08/2020,Um total de R$ 850 mil que deveriam ir para a Saúde teriam sido destinados a honorários advocatícios,https://www.ataqueaoscofrespublicos.com/noticias/os-iabas-usou-dinheiro-da-saude-de-sp-para-custear-advogados-em-processos-criminais-no-rio/,,SP;RJ
 SUSPEITAS DE FRAUDE E SUBNOTIFICAÇÕES RONDAM TESTAGEM DE COVID-19 EM SANTOS ,11/08/2020,Denúncias ocorrem ao mesmo tempo em que há a elevação da média móvel de mortes pela doença na Cidade,https://www.ataqueaoscofrespublicos.com/noticias/suspeitas-de-fraude-e-subnotificacoes-rondam-testagem-de-covid-19-em-santos/,,SP;AC;ES;RS;RR
 GRUPO APONTA “EQUÍVOCOS” EM EDITAL DE TERCEIRIZAÇÃO DA CLÍNICA ESCOLA PARA AUTISTAS DE SANTOS ,10/08/2020,"OS contratada para gerir o serviço é a USC Saúde, que receberá dos cofres municipais R$ 4,1 milhões",https://www.ataqueaoscofrespublicos.com/noticias/grupo-aponta-equivocos-em-edital-de-terceirizacao-da-clinica-escola-para-autistas-de-santos/,,CE;SC
 SUSPEITO DE GANHAR PROPINA PARA INTERMEDIAR CONTRATOS COM OS COMPROU MANSÃO E AVIÃO ,07/08/2020,O atual secretário de Transportes Metropolitanos do governo de São Paulo é apontado como facilitador e lobista em três frentes de atuação,https://www.ataqueaoscofrespublicos.com/noticias/suspeito-de-ganhar-propina-para-intermediar-contratos-com-os-comprou-mansao-e-aviao/,Operação Dardanários,SP;GO;RJ;TO;ES;PA;PR
" CONHEÇA O PASSADO DA PRÓ-SAÚDE, CITADA NA OPERAÇÃO DANDÁRIOS E GESTORA DA UPA DA ZONA LESTE ",07/08/2020,Ex membros da OS fazem parte da delação contra secretário estadual preso nesta quinta (6),https://www.ataqueaoscofrespublicos.com/noticias/conheca-o-passado-da-pro-saude-citada-na-operacao-dandarios-e-gestora-da-upa-da-zona-leste/,Operação Dardanários,SP;GO;RJ;ES;PA;PR;TO
 FRAUDES NA SAÚDE: PF PRENDE SECRETÁRIO DE TRANSPORTES METROPOLITANOS DE SP ,06/08/2020,"Pró-Saúde, que gerencia a UPA da Zona Leste, é citada como envolvida no esquema",https://www.ataqueaoscofrespublicos.com/noticias/fraudes-na-saude-pf-prende-secretario-de-transportes-metropolitanos-de-sp/,Operação Dardanários,SP;GO;RJ
 EDUCAÇÃO NA MIRA DAS OSs: GOVERNO COVAS QUER TERCEIRIZAR 12 CEUs ,05/08/2020,"A prefeitura prevê, na minuta do edital, um repasse mensal de R$ 7,6 milhões às organizações sociais. Nos cinco anos de concessão, esses repasses totalizam R$ 456 milhões. ",https://www.ataqueaoscofrespublicos.com/noticias/educacao-na-mira-das-oss-governo-covas-quer-terceirizar-12-ceus/,,SP
